"ncomp";"fold";"df";"aic";"bic";"cbic";"dev"
2;17;17500;5.05125351606705;5.31875604298504;5.08456350358554;4.57062784469171
2;18;17500;5.0494708501248;5.31697337704279;5.08278083764329;4.62505803462385
2;19;17500;5.05001157578207;5.31751410270006;5.08332156330057;4.58657365449809
2;20;17500;5.0516837414253;5.3191862683433;5.0849937289438;4.60751416007968
3;1;23000;4.76253979607074;5.11411454573439;4.80631863680933;4.39638645627205
3;2;23000;4.75701777883112;5.10859252849477;4.80079661956971;4.38164532406623
3;3;23000;4.75350857183935;5.105083321503;4.79728741257794;4.38602809429684
3;4;23000;4.76222447574483;5.11379922540848;4.80600331648343;4.38235186974182
3;5;23000;4.77157249424324;5.12314724390689;4.81535133498183;4.40913049701908
3;6;23000;4.75641176632367;5.10798651598732;4.80019060706226;4.40086355976649
3;7;23000;4.75997099614122;5.11154574580487;4.80374983687981;4.3582046934828
3;8;23000;4.75997719700328;5.11155194666693;4.80375603774187;4.38467690061725
3;9;23000;4.75216917472482;5.10374392438847;4.79594801546341;4.40292253622287
3;10;23000;4.75770454048521;5.10927929014886;4.80148338122381;4.39062200136712
3;11;23000;4.76887305528961;5.12044780495326;4.8126518960282;4.37682031140106
3;12;23000;4.75321208507584;5.10478683473949;4.79699092581444;4.39802191077043
3;13;23000;4.76411341316383;5.11568816282748;4.80789225390242;4.3457357890218
3;14;23000;4.76233116322567;5.11390591288932;4.80611000396426;4.36995718604593
3;15;23000;4.76309741601356;5.1146721656772;4.80687625675215;4.35727802177069
3;16;23000;4.76673949594677;5.11831424561041;4.81051833668536;4.40973565130518
3;17;23000;4.75919601949328;5.11077076915693;4.80297486023187;4.35462222270235
3;18;23000;4.75737906311451;5.10895381277816;4.8011579038531;4.43851428473749
3;19;23000;4.76516409523391;5.11673884489756;4.80894293597251;4.38153506343266
3;20;23000;4.75967121033324;5.11124595999689;4.80345005107184;4.44460507092246
4;1;28500;4.67237644152712;5.10802341393642;4.72662413548581;4.51688587452233
4;2;28500;4.66872704472756;5.10437401713687;4.72297473868626;4.48542888346659
4;3;28500;4.71525626325893;5.15090323566824;4.76950395721762;4.43732780931753
4;4;28500;4.67610549395662;5.11175246636592;4.73035318791531;4.4593739254532
4;5;28500;4.68468689258437;5.12033386499367;4.73893458654306;4.43587376776551
4;6;28500;4.68176500395561;5.11741197636492;4.7360126979143;4.44408393622495
4;7;28500;4.70344822661266;5.13909519902196;4.75769592057135;4.45838524450295
4;8;28500;4.68014576267852;5.11579273508783;4.73439345663722;4.46174139986557
4;9;28500;4.66401784292646;5.09966481533577;4.71826553688516;4.48290177020311
4;10;28500;4.6647109174801;5.10035788988941;4.71895861143879;4.5261531878296
4;11;28500;4.68057772929679;5.1162247017061;4.73482542325549;4.42871050736072
4;12;28500;4.66829431274584;5.10394128515514;4.72254200670453;4.51443339264751
4;13;28500;4.68271192258027;5.11835889498958;4.73695961653897;4.46865352425335
4;14;28500;4.67341753159716;5.10906450400646;4.72766522555585;4.46709893529891
4;15;28500;4.66538763876734;5.10103461117664;4.71963533272603;4.45148603983363
4;16;28500;4.69846584070563;5.13411281311493;4.75271353466432;4.43816692233
4;17;28500;4.70303192455554;5.13867889696485;4.75727961851423;4.42577348399067
4;18;28500;4.66715062676555;5.10279759917485;4.72139832072424;4.50133512881055
4;19;28500;4.68176440350837;5.11741137591768;4.73601209746706;4.48594567050881
4;20;28500;4.6644820837252;5.1001290561345;4.71872977768389;4.5091027941139
5;1;34000;4.60190524507875;5.12162444023371;4.66662179225754;4.53168369667315
5;2;34000;4.62271936461812;5.14243855977308;4.68743591179692;4.66628102435527
5;3;34000;4.60626002897674;5.1259792241317;4.67097657615553;4.5946564857546
5;4;34000;4.61112909701656;5.13084829217152;4.67584564419535;4.6417138385341
5;5;34000;4.6171567809492;5.13687597610416;4.68187332812799;4.68135555465172
5;6;34000;4.60666807512837;5.12638727028333;4.67138462230716;4.67400099526922
