"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"NMF";16.189;0.0273;0.1429;0.0101;-0.0263;0.4501;"Train";7
"NNLM";17.516;0.0245;0.1425;0.0078;0.023;0.6662;"Train";7
"AIRWLS";21.015;0.0235;0.1424;0.0065;0.402;0.8609;"Train";7
"Newton";11.206;0.0236;0.1424;0.0065;0.4205;0.8687;"Train";7
"C-SGD";10.1;0.023;0.1423;0.0076;0.3397;0.7951;"Train";7
"B-SGD";5.797;0.0228;0.1423;0.0082;0.2362;0.6745;"Train";7
"AvaGrad";9.804;0.0288;0.4933;0.0157;-0.037;0.2669;"Test";7
"Fisher";12.052;0.0257;0.493;0.016;0.1753;0.6511;"Test";7
"NBWaVE";19.398;0.0253;0.493;0.0103;0.3638;0.8772;"Test";7
"CMF";35.01;0.0266;0.4932;0.019;0.0284;0.4694;"Test";7
"NMF";16.189;0.0275;0.4931;0.0169;-0.0263;0.4501;"Test";7
"NNLM";17.516;0.0248;0.4931;0.0105;0.023;0.6662;"Test";7
"AIRWLS";21.015;0.024;0.493;0.0114;0.402;0.8609;"Test";7
"Newton";11.206;0.024;0.493;0.0117;0.4205;0.8687;"Test";7
"C-SGD";10.1;0.0245;0.493;0.0096;0.3397;0.7951;"Test";7
"B-SGD";5.797;0.0263;0.4931;0.0098;0.2362;0.6745;"Test";7
"AvaGrad";15.201;0.03;0.0045;0.0189;-0.0403;0.2583;"Full";8
"Fisher";9.112;0.0261;0.0039;0.0121;0.1883;0.5956;"Full";8
"NBWaVE";20.81;0.0248;0.0037;0.0117;0.432;0.8895;"Full";8
"CMF";34.492;0.0269;0.0041;0.0132;0.0343;0.4623;"Full";8
"NMF";26.616;0.027;0.004;0.0131;0.0854;0.5215;"Full";8
"NNLM";17.431;0.0252;0.0038;0.0102;-0.0105;0.6399;"Full";8
"AIRWLS";21.143;0.0245;0.0037;0.0097;0.3872;0.824;"Full";8
"Newton";11.239;0.0245;0.0037;0.0098;0.3894;0.8184;"Full";8
"C-SGD";10.143;0.0243;0.0037;0.0098;0.385;0.8301;"Full";8
"B-SGD";5.825;0.0245;0.0037;0.0104;0.2057;0.6605;"Full";8
"AvaGrad";15.201;0.03;0.143;0.0186;-0.0403;0.2583;"Train";8
"Fisher";9.112;0.026;0.1425;0.0098;0.1883;0.5956;"Train";8
"NBWaVE";20.81;0.0243;0.1423;0.0114;0.432;0.8895;"Train";8
"CMF";34.492;0.0268;0.1426;0.0109;0.0343;0.4623;"Train";8
"NMF";26.616;0.0269;0.1427;0.0118;0.0854;0.5215;"Train";8
"NNLM";17.431;0.0251;0.1423;0.0095;-0.0105;0.6399;"Train";8
"AIRWLS";21.143;0.0244;0.1423;0.0081;0.3872;0.824;"Train";8
"Newton";11.239;0.0244;0.1423;0.0081;0.3894;0.8184;"Train";8
"C-SGD";10.143;0.0238;0.1422;0.0094;0.385;0.8301;"Train";8
"B-SGD";5.825;0.0233;0.1422;0.01;0.2057;0.6605;"Train";8
"AvaGrad";15.201;0.03;0.4934;0.0198;-0.0403;0.2583;"Test";8
"Fisher";9.112;0.0264;0.4931;0.0186;0.1883;0.5956;"Test";8
"NBWaVE";20.81;0.0261;0.4931;0.0123;0.432;0.8895;"Test";8
"CMF";34.492;0.0272;0.4933;0.0196;0.0343;0.4623;"Test";8
"NMF";26.616;0.0273;0.4931;0.0167;0.0854;0.5215;"Test";8
"NNLM";17.431;0.0254;0.4932;0.0119;-0.0105;0.6399;"Test";8
"AIRWLS";21.143;0.0249;0.4931;0.014;0.3872;0.824;"Test";8
"Newton";11.239;0.0249;0.4931;0.0145;0.3894;0.8184;"Test";8
"C-SGD";10.143;0.0258;0.4931;0.0111;0.385;0.8301;"Test";8
"B-SGD";5.825;0.028;0.4932;0.0115;0.2057;0.6605;"Test";8
"AvaGrad";11.598;0.0289;0.0054;0.0225;-0.0388;0.2608;"Full";9
"Fisher";12.493;0.0245;0.0046;0.0112;0.2652;0.721;"Full";9
